ID	Chro_1	Chro_2	Chro_3	Chro_4	Chro_5	Chro_6	Chro_7	Chro_8	Chro_9	Chro_10	Chro_11	Chro_12	Chro_13	Chro_14
31106325001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106326001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106326001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106326001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106326002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106326002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106326002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106326002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106327001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106327001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106327001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106327002	1	0	0	0	0	0	0	0	0	0	0	0	1	0
31106327002	1	0	0	0	0	0	0	0	0	0	0	0	1	0
31106327002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106328001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106328001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106328002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106328002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106329001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106329001	1	1	0	0	0	0	0	0	0	0	0	0	0	0
31106329001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106329002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106329002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106329002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106330001	1	0	0	0	0	0	0	0	0	0	0	0	0	0
31106330001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106331001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106331001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106331002	0	0	0	0	1	0	0	0	0	0	0	0	0	0
31106331002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34043101001	1	0	0	0	0	0	0	0	0	0	0	0	0	0
34043101001	1	0	0	0	0	0	0	0	0	0	0	0	0	0
34043101001	1	0	0	0	0	0	0	0	0	0	0	0	0	0
34043101001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34043101002	0	0	0	0	0	0	0	0	0	0	0	0	1	0
34043101002	0	0	0	0	0	0	0	0	0	0	0	0	1	0
34043101002	0	0	0	0	0	0	0	0	0	0	0	0	1	0
34043101002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34043102001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34043102001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34043102001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34043102001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34043103001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34043103001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34043103001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34043103001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34043103002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34043104001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34043104001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34043104001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34043104001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34043104002	0	0	1	0	0	0	0	0	0	0	0	0	1	0
34043104002	0	0	1	0	0	0	0	0	0	0	0	0	0	0
34043104002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34043105001	1	0	0	0	1	0	0	0	0	1	0	0	1	1
34043105001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34043106001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34043106001	0	0	0	0	0	0	0	0	0	1	0	0	0	0
34043106001	0	0	0	0	0	0	0	0	0	1	0	0	0	0
34043106001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34043107001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34043107001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34043107001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34043107002	0	0	1	0	0	0	0	0	0	0	0	0	1	0
34043107002	0	0	1	0	0	0	0	0	0	0	0	0	1	0
34043107002	0	0	1	0	1	0	0	0	0	0	0	0	1	1
34043107002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34043108001	1	1	0	0	1	0	0	0	0	1	0	0	1	0
34043108001	1	0	0	0	1	0	0	0	0	0	0	0	1	0
34043108001	1	0	0	0	1	0	0	0	0	1	0	0	1	1
34043108001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34043108002	0	1	1	0	0	0	0	0	0	1	0	0	0	0
34043108002	0	0	0	0	0	0	1	0	0	1	0	0	0	0
34043108002	0	0	0	0	0	0	1	0	0	1	0	0	0	0
34043108002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34043109001	0	0	0	0	0	0	0	0	0	1	0	0	0	0
34043109001	0	0	0	0	0	1	0	0	0	0	0	0	0	0
34043109001	0	0	0	0	0	0	0	0	0	1	0	0	0	0
34043109001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34043109002	1	0	0	0	0	0	0	0	0	0	0	0	0	0
34043109002	0	0	0	0	0	0	0	0	0	1	0	0	0	0
